course_code,slot_id
BB 614,D1
BB 614,D2
BB 614,D3
BB 612,E1
BB 612,E2
BB 420,I1
BB 420,I2
BB 420,I3
CL 405,H1
CL 405,H2
CL 405,H3
CS 618,M1
CS 618,M2
CS 619,L1
CS 619,L2
CS 633,D1
CS 633,D2
CS 633,D3
CS 634,B1
CS 634,B2
CS 634,B3
CS 639,H1
CS 639,H2
CS 639,H3
CS 609,G1
CS 609,G2
CS 601,I1
CS 601,I2
CS 601,I3
CS 616,K1
CS 616,K2
CS 616,K3
CS 428,J1
CS 428,J2
CS 428,J3
CS 403,C1
CS 403,C2
CS 403,C3
HS 409,E1
HS 409,E2
HS 410,E1
HS 410,E2
HS 435,E1
HS 435,E2
HS 433,E1
HS 433,E2
HS 436,H1
HS 436,H2
HS 436,H3
HS 437,E1
HS 437,E2
HS 438,H1
HS 438,H2
HS 438,H3
EE 334,H1
EE 334,H2
EE 334,H3
EE 335,I1
EE 335,I2
EE 335,I3
EE 420,I1
EE 420,I2
EE 420,I3
EE 699,J1
EE 699,J2
EE 699,J3
EE 601,J1
EE 601,J2
EE 601,J3
EE 607,G1
EE 607,G2
EE 610,H1
EE 610,H2
EE 610,H3
EE 615,M1
EE 615,M2
EE 616,L1
EE 616,L2
EE 616,L1
EE 616,L2
EE 622,D1
EE 622,D2
EE 622,D3
EE 625,I1
EE 625,I2
EE 625,I3
EE 629,K1
EE 629,K2
EE 629,K3
EE 634,G1
EE 634,G2
EE 634,G1
EE 634,G2
EE 688,J1
EE 688,J2
EE 688,J3
EE 690,F1
EE 690,F2
EE 695,E1
EE 695,E2
EE 696,J1
EE 696,J2
EE 696,J3
ME 426,A1
ME 426,A2
ME 426,A3
ME 605,J1
ME 605,J2
ME 605,J3
ME 607,B1
ME 607,B2
ME 607,B3
ME 608,D1
ME 608,D2
ME 608,D3
ME 609,C1
ME 609,C2
ME 609,C3
ME 643,I1
ME 643,I2
ME 643,I3
ME 668,H1
ME 668,H2
ME 668,H3
ME 903,G1
ME 903,G2
ME 449,G1
ME 449,G2
PH 402,I1
PH 402,I2
PH 402,I3
PH 404,J1
PH 404,J2
PH 404,J3
